560.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,16.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,318.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-minor triad,0.5,319.5
Chord {G-sharp in octave 4 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,320.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,321.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,322.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,323.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-major triad,0.5,324.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 4} Eighth,C#5-minor triad,0.5,324.5
Chord {E in octave 4 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,325.5
Chord {E-flat in octave 4 | B in octave 4 | F-sharp in octave 4} Eighth,E-4-major triad,0.5,326.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-quartal trichord,2.5,327.5
Chord {G-sharp in octave 4 | E in octave 4} Eighth,E4-interval class 4,0.5,333.5
Chord {C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-interval class 5,0.5,334.0
Chord {E in octave 5 | C-sharp in octave 5} Eighth,C#5-interval class 3,0.5,334.5
Chord {F-sharp in octave 5 | E-flat in octave 5} Eighth,F#5-interval class 3,0.5,335.0
Chord {E in octave 5 | G-sharp in octave 5 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,335.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,336.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,337.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,338.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-minor triad,0.5,339.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,340.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,340.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,341.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,342.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,343.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,344.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,345.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,346.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,347.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Dotted Quarter,E-5-major triad,1.5,348.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,349.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,350.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,351.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,352.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,353.0
Chord {C-sharp in octave 5 | A in octave 4 | E in octave 5} Eighth,A4-major triad,0.5,354.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,355.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,356.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,356.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,357.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,358.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-quartal trichord,2.5,359.5
Chord {G-sharp in octave 4 | E in octave 4} Eighth,E4-interval class 4,0.5,493.5
Chord {C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-interval class 5,0.5,494.0
Chord {E in octave 5 | C-sharp in octave 5} Eighth,C#5-interval class 3,0.5,494.5
Chord {F-sharp in octave 5 | E-flat in octave 5} Eighth,F#5-interval class 3,0.5,495.0
Chord {E in octave 5 | G-sharp in octave 5 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,495.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,496.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,497.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,498.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-minor triad,0.5,499.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,500.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,500.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,501.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,502.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,503.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,504.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,505.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,506.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,507.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Dotted Quarter,E-5-major triad,1.5,508.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,509.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,510.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,511.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,512.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,513.0
Chord {C-sharp in octave 5 | A in octave 4 | E in octave 5} Eighth,A4-major triad,0.5,514.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,515.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,516.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,516.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,517.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,518.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-quartal trichord,2.5,519.5
Chord {G-sharp in octave 4 | E in octave 4} Eighth,E4-interval class 4,0.5,525.5
Chord {C-sharp in octave 5 | G-sharp in octave 4} Eighth,C#5-interval class 5,0.5,526.0
Chord {E in octave 5 | C-sharp in octave 5} Eighth,C#5-interval class 3,0.5,526.5
Chord {F-sharp in octave 5 | E-flat in octave 5} Eighth,F#5-interval class 3,0.5,527.0
Chord {E in octave 5 | G-sharp in octave 5 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,527.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,528.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,529.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,530.0
Chord {B in octave 4 | G-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-minor triad,0.5,531.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,532.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,532.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,533.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,534.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,535.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,536.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,537.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,538.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,539.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Dotted Quarter,E-5-major triad,1.5,540.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,541.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,542.5
Chord {E in octave 5 | C-sharp in octave 5 | G-sharp in octave 5} Eighth,C#5-minor triad,0.5,543.5
Chord {G-sharp in octave 5 | C-sharp in octave 5 | E in octave 5} Eighth,C#5-minor triad,0.5,544.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 5} Eighth,E-5-major triad,0.5,545.0
Chord {C-sharp in octave 5 | A in octave 4 | E in octave 5} Eighth,A4-major triad,0.5,546.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,547.0
Chord {B in octave 4 | F-sharp in octave 4 | E-flat in octave 5} Eighth,E-5-major triad,0.5,548.0
Chord {C-sharp in octave 5 | G-sharp in octave 4 | E in octave 5} Eighth,C#5-minor triad,0.5,548.5
Chord {E in octave 5 | G-sharp in octave 4 | C-sharp in octave 5} Eighth,C#5-minor triad,0.5,549.5
Chord {E-flat in octave 5 | B in octave 4 | F-sharp in octave 4} Eighth,E-5-major triad,0.5,550.5
Chord {E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),C#4-quartal trichord,2.5,551.5
Chord {G-sharp in octave 4 | E in octave 4 | B in octave 3} Breve,E4-major triad,8.0,368.0
Chord {F-sharp in octave 4 | E-flat in octave 4 | B in octave 3} Breve,E-4-major triad,8.0,376.0
Chord {G in octave 4 | E-flat in octave 4 | D in octave 4} Breve,E-4-incomplete major-seventh chord,8.0,384.0
Chord {B-flat in octave 3 | F in octave 4 | D in octave 4} Breve,B-3-major triad,8.0,392.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 4} Breve,D4-major triad,8.0,400.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 4 | A in octave 4} Breve,A3-major triad,8.0,408.0
Chord {C in octave 4 | C-sharp in octave 4 | F in octave 4} Breve,F4-incomplete major-seventh chord,8.0,416.0
Chord {E-flat in octave 4 | C in octave 5} Breve,C5-interval class 3,8.0,424.0
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,35.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,39.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,43.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,47.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,51.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,55.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,59.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,63.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,67.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,71.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,75.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,79.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,83.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,87.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,91.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,95.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,99.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,103.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,107.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,111.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,115.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,119.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,123.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,127.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,131.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,135.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,139.5
Chord {B in octave 1 | F in octave 2} Eighth,B1-tritone,0.5,143.0
Chord {B in octave 1 | B-flat in octave 5 | C-sharp in octave 3} Eighth,C#3-phrygian trichord,0.5,143.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,145.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,146.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,146.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,147.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,148.0
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} Zero,B-5-incomplete major-seventh chord,0.0,148.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,149.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,150.0
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,151.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,153.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,154.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,154.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,155.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,156.0
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,157.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,158.0
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,159.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,160.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,161.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,162.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,162.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,163.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,164.0
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,164.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,165.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,166.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,166.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,167.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,168.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,169.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,170.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,171.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,173.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,174.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,175.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,176.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,177.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,178.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,178.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,179.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,180.0
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} Zero,B-5-incomplete major-seventh chord,0.0,180.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,181.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,182.0
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,183.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,184.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,185.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,186.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,186.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,187.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,188.0
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,189.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,190.0
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,191.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,192.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,193.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,194.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,194.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,195.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,196.0
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,196.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,197.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,198.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,198.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,199.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,200.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,201.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,202.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,203.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,205.5
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,206.5
Chord {F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-interval class 4,0.25,207.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,211.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,215.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,223.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,227.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,235.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,239.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,243.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,247.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,255.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,259.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,263.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,267.5
Chord {B-flat in octave 5 | B in octave 1} Eighth,B-5-interval class 1,0.5,275.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,279.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,283.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,287.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,291.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,295.5
Chord {B in octave 1 | B-flat in octave 5} Eighth,B1-interval class 1,0.5,299.5
Chord {B in octave 1 | F in octave 2} Eighth,B1-tritone,0.5,303.0
Chord {B in octave 1 | C-sharp in octave 3 | B-flat in octave 5} Eighth,C#3-phrygian trichord,0.5,303.5
Chord {F in octave 3 | F-sharp in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,305.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,306.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,306.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,306.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,307.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,308.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,308.5
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,308.5
Chord {F in octave 3 | B-flat in octave 5 | F-sharp in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,309.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,310.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,311.5
Chord {F-sharp in octave 3 | B-flat in octave 5} Zero,B-5-interval class 4,0.0,312.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,313.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,314.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,314.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,315.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,316.0
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,317.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,318.0
Chord {B-flat in octave 5 | F-sharp in octave 3} Zero,B-5-interval class 4,0.0,318.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,319.5
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,321.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,322.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,322.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,323.5
Chord {F in octave 3 | F-sharp in octave 3} Zero,F3-interval class 1,0.0,324.0
Chord {B-flat in octave 5 | F-sharp in octave 3 | F in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,325.5
Chord {F-sharp in octave 3 | F in octave 3} 16th,F#3-interval class 1,0.25,326.0
Chord {F in octave 3 | F-sharp in octave 3} 16th,F3-interval class 1,0.25,326.5
Chord {F-sharp in octave 3 | B-flat in octave 5 | F in octave 3} 16th,B-5-incomplete major-seventh chord,0.25,329.5
Chord {F-sharp in octave 3 | F in octave 3 | B-flat in octave 5} 16th,B-5-incomplete major-seventh chord,0.25,331.5
Chord {B-flat in octave 5 | F in octave 3 | F-sharp in octave 3} Zero,B-5-incomplete major-seventh chord,0.0,333.5
