4/4
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,11.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,316.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,318.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,319.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,319.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,320.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,321.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,321.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,321.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,322.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,322.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,322.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,322.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,323.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,323.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,323.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,324.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,324.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,325.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,325.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,326.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,327.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,328.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,328.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,329.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,329.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,329.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,330.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,330.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,330.5
Chord {E-flat in octave 2 | D in octave 2 | E in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D2-major-second tetracluster,0.25,330.75
Chord {E in octave 2 | D in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,D2-whole-tone trichord,0.25,331.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,331.25
Chord {E-flat in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-major-minor trichord,0.25,331.5
Chord {E in octave 2 | D in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-whole-tone trichord,1/3,331.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,332.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,334.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,335.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,335.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,335.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,336.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,337.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,337.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,337.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,338.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,338.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,339.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,339.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,340.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,340.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,341.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,341.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,342.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,343.0
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,343.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,344.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,344.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,345.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,345.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,345.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,346.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,346.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,347.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,347.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,347.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,348.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,350.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,351.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,351.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,351.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,352.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,353.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,353.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,353.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,354.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,354.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,355.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,355.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,356.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,356.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,357.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,357.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,358.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,359.0
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,359.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,360.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,360.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,361.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,361.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,361.75
Chord {E-flat in octave 2 | B in octave 2} 16th,E-2-interval class 4,0.25,362.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,362.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,362.5
Chord {E-flat in octave 2 | B in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,B2-major-minor tetramirror,0.25,362.75
Chord {E-flat in octave 2 | B in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,E-2-major triad,0.25,363.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,363.25
Chord {E-flat in octave 2 | B in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,B2-major-minor tetramirror,0.25,363.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,364.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,366.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,367.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,367.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,368.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,369.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,369.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,369.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,370.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,370.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,371.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,371.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,372.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,372.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,373.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,373.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,374.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,375.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,376.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,376.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,377.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,377.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,377.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,378.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,378.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,379.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,379.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,379.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,380.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,382.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,383.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,383.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,384.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,385.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,385.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,385.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,386.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,386.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,387.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,387.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,388.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,388.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,389.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,389.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,390.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,391.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,392.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,392.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,393.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,393.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,393.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,394.25
Chord {D in octave 4 | G in octave 2 | F-sharp in octave 3} Zero,G2-incomplete major-seventh chord,0.0,394.5
Chord {B in octave 2 | D in octave 4 | G in octave 2} 16th,G2-major triad,0.25,394.75
Chord {A in octave 2 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,395.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,395.25
Chord {G in octave 2 | C in octave 2 | F in octave 2} 16th,F2-quartal trichord,0.25,395.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,395.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,396.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,398.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,399.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,399.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,400.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,401.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,401.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,401.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,402.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,402.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,402.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,402.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,403.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,403.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,403.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,403.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,404.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,404.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,405.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,405.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,406.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,407.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,408.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,408.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,409.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,409.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,409.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,410.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,410.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,410.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,410.75
Chord {E-flat in octave 2 | C-sharp in octave 2 | E in octave 3} Eighth,C#2-minor trichord,0.5,411.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,411.0
Chord {E in octave 4 | B in octave 3} Zero,E4-interval class 5,0.0,411.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,411.25
Chord {E in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,411.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,411.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,412.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,414.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,415.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,415.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,416.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,417.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,417.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,417.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,418.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,418.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,418.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,418.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,419.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,419.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,419.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,420.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,420.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,421.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,421.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,422.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,423.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,424.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,424.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,425.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,425.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,425.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,426.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,426.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,426.5
Chord {D in octave 2 | E in octave 2 | E-flat in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D2-major-second tetracluster,0.25,426.75
Chord {E in octave 2 | D in octave 2 | F-sharp in octave 2 | F-sharp in octave 3} 16th,D2-whole-tone trichord,0.25,427.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,427.25
Chord {E in octave 2 | D in octave 2 | C in octave 2} Eighth Triplet (1/3 QL),C2-whole-tone trichord,1/3,427.5
Chord {E-flat in octave 2 | F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-major-minor trichord,0.25,427.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,428.0
Chord {G in octave 2 | F in octave 2} Double Dotted Quarter,G2-interval class 2,1.75,428.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,430.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,431.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,431.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,432.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,433.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,433.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,433.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,434.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,434.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,434.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,434.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,435.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,435.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,435.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,435.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,436.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,436.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,437.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,437.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,438.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,439.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,440.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,440.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,441.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,441.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,441.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,442.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,442.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,442.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,442.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,443.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,443.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,443.25
Chord {E in octave 2 | D in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,443.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,443.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,444.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,446.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,447.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,447.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,448.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,449.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,449.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,449.75
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth Triplet (1/3 QL),C#2-interval class 2,1/3,450.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,450.5
Chord {D in octave 2 | E in octave 2} Eighth,E2-interval class 2,0.5,450.75
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,450.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,451.0
Chord {D in octave 2 | E in octave 2} Quarter Triplet (2/3 QL),E2-interval class 2,2/3,451.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,451.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,452.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,452.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,453.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,453.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,454.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,455.0
