4/4
Chord {A in octave 3 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,76/3
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,212.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,213.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,214.25
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,232.25
Chord {B-flat in octave 2 | B in octave 3} Zero,B-2-interval class 1,0.0,236.0
Chord {F in octave 3 | B-flat in octave 2} Zero,B-2-interval class 5,0.0,236.25
Chord {E-flat in octave 3 | B-flat in octave 2} Zero,E-3-interval class 5,0.0,709/3
Chord {B in octave 3 | F in octave 3} Zero,B3-tritone,0.0,236.5
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,236.75
Chord {C-sharp in octave 4 | C-sharp in octave 5} Quarter Triplet (2/3 QL),C#4-unison,2/3,237.0
Chord {E-flat in octave 3 | B-flat in octave 2} Zero,E-3-interval class 5,0.0,713/3
Chord {E-flat in octave 4 | E-flat in octave 5} Quarter Triplet (2/3 QL),E-4-unison,2/3,713/3
Chord {C-sharp in octave 5 | C-sharp in octave 4 | C-sharp in octave 5} Quarter,C#5-unison,1.0,243.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,244.0
Chord {B-flat in octave 4 | B-flat in octave 5} Quarter Triplet (2/3 QL),B-4-unison,2/3,245.0
Chord {C in octave 5 | C in octave 6} Dotted Eighth,C5-unison,0.75,737/3
Chord {G-sharp in octave 4 | G-sharp in octave 5} Quarter Triplet (2/3 QL),G#4-unison,2/3,246.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,247.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,248.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,249.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,250.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,251.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,252.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,253.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,254.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,255.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,256.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,257.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,258.5
Chord {F in octave 4 | C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 4 | E-flat in octave 3} 16th,C#4-major pentatonic,0.25,259.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,259.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,260.75
Chord {F in octave 5 | F in octave 4 | F in octave 6} Eighth,F5-unison,0.5,261.75
Chord {C-sharp in octave 5 | C-sharp in octave 4 | C-sharp in octave 6} Quarter Triplet (2/3 QL),C#5-unison,2/3,787/3
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,263.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,264.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,265.0
Chord {G in octave 4 | G in octave 4 | E-flat in octave 4 | G in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G-sharp in octave 3 | C in octave 5 | C in octave 4 | G-sharp in octave 2} Quarter,C4-major-ninth chord,1.0,266.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,267.0
Chord {F in octave 5 | F in octave 4 | F in octave 6} Quarter Triplet (2/3 QL),F5-unison,2/3,269.0
Chord {E-flat in octave 5 | E-flat in octave 4} Whole tied to 16th (4 1/4 total QL),E-5-unison,4.25,271.0
Chord {F-sharp in octave 3 | G in octave 1 | B in octave 3} Half,G1-incomplete major-seventh chord,2.0,285.0
Chord {E in octave 4 | B-flat in octave 3} Zero,E4-tritone,0.0,294.75
Chord {F-sharp in octave 4 | A in octave 4 | D in octave 4} Eighth,D4-major triad,0.5,25.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,58.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,58.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,58.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,59.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,59.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,59.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,59.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,66.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,66.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,66.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,66.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,67.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,67.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,67.5
Chord {A in octave 4 | E in octave 4 | G in octave 3} Zero,A4-incomplete dominant-seventh chord,0.0,67.75
Chord {E in octave 4 | C in octave 4} 16th,C4-interval class 4,0.25,67.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,70.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,70.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,70.5
Chord {A in octave 3 | D in octave 4 | B in octave 3 | B in octave 3 | A in octave 1} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,212/3
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,71.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,71.75
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,72.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,72.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,72.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,73.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,74.0
Chord {C in octave 4 | C in octave 4} Quarter,C4-unison,1.0,74.0
Chord {B in octave 3 | B in octave 3} Quarter,B3-unison,1.0,75.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,80.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,80.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,80.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,81.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,81.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,81.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,81.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,88.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,88.25
Chord {B in octave 3 | A in octave 3} Half tied to Quarter tied to 16th (3 1/4 total QL),B3-interval class 2,3.25,88.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,92.0
Chord {G in octave 3 | A in octave 3 | E in octave 3} Whole,A3-incomplete dominant-seventh chord,4.0,92.0
Chord {A in octave 5 | A in octave 4 | E in octave 4} Zero,A5-interval class 5,0.0,97.0
Chord {G in octave 2 | B in octave 3 | G in octave 3 | D in octave 4 | F-sharp in octave 4} Half,G2-major seventh chord,2.0,97.0
Chord {A in octave 5 | A in octave 4 | E in octave 4} Zero,A5-interval class 5,0.0,99.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,99.25
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,100.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,101.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,102.0
Chord {G in octave 4 | C in octave 4} Eighth,C4-interval class 5,0.5,310/3
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,104.0
Chord {C in octave 4 | C in octave 4 | A in octave 3} Whole,A3-interval class 3,4.0,108.0
Chord {G in octave 2 | B in octave 3 | F-sharp in octave 4 | D in octave 4} Dotted Half,G2-major seventh chord,3.0,113.0
Chord {D in octave 4 | G in octave 2 | A in octave 3 | B in octave 3} Whole,G2-major-second major tetrachord,4.0,116.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,123.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,124.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,125.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,126.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,127.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,128.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,129.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,130.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,131.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,132.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,133.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,134.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,135.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,136.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,137.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,138.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,139.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,140.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,141.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,142.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,143.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,164.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,165.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,166.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,167.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,168.5
Chord {B in octave 4 | G-sharp in octave 5} 16th,G#5-interval class 3,0.25,169.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,169.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,170.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,171.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,172.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,173.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,174.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,175.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,176.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,177.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,178.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,179.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,180.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,181.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,182.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,183.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,184.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,185.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,186.75
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,565/3
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,568/3
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,571/3
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,190.5
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,190.5
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,572/3
Chord {G in octave 3 | G in octave 2 | E in octave 3 | A in octave 3 | A in octave 2 | B in octave 2 | A in octave 4} Zero,E3-perfect-fourth minor tetrachord,0.0,193.0
Chord {E in octave 3 | G in octave 2 | A in octave 3 | B in octave 2 | G in octave 3 | A in octave 2 | A in octave 4} Zero,E3-perfect-fourth minor tetrachord,0.0,194.25
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,195.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,196.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,197.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,198.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,199.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,200.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,201.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,202.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,203.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,204.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,205.75
Chord {C in octave 5 | G-sharp in octave 4} Dotted Half,C5-interval class 4,3.0,215.0
Chord {E-flat in octave 3 | B-flat in octave 2} Zero,E-3-interval class 5,0.0,237.0
Chord {G-sharp in octave 4 | G-sharp in octave 5} Eighth,G#4-unison,0.5,715/3
Chord {C in octave 5 | G-sharp in octave 4} Dotted Half,C5-interval class 4,3.0,239.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,242.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,246.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,247.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,248.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,249.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,250.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,251.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,252.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,253.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,254.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,255.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,256.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,257.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,258.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,260.0
Chord {F in octave 5 | F in octave 4 | F in octave 6} Quarter Triplet (2/3 QL),F5-unison,2/3,261.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,261.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,262.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,263.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,264.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,265.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,266.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,267.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,268.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,269.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,270.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,271.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,272.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,273.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,274.75
Chord {G-sharp in octave 3 | F in octave 4} 16th,G#3-interval class 3,0.25,67.75
Chord {F-sharp in octave 4 | D in octave 5} Eighth,D5-interval class 4,0.5,212/3
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,74.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,74.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,74.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,75.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,75.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,75.5
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,88.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,88.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,89.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,89.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,89.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,89.75
Chord {A in octave 3 | F-sharp in octave 3} Half,F#3-interval class 3,2.0,90.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,92.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,92.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,92.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,93.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,93.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,93.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,93.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,94.0
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,94.25
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,94.5
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,94.75
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,95.0
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,95.25
Chord {A in octave 4 | E-flat in octave 4} Zero,A4-tritone,0.0,95.5
Chord {A in octave 4 | D in octave 4} Zero,D4-interval class 5,0.0,97.25
Chord {G-sharp in octave 5 | A in octave 4 | E-flat in octave 4} Zero,A4-tritone-fourth,0.0,97.5
Chord {G-sharp in octave 5 | A in octave 4 | E in octave 4} Zero,A4-incomplete major-seventh chord,0.0,97.75
Chord {G-sharp in octave 5 | A in octave 4 | E-flat in octave 4} Zero,A4-tritone-fourth,0.0,99.5
Chord {G-sharp in octave 5 | A in octave 4 | E in octave 4} Zero,A4-incomplete major-seventh chord,0.0,99.75
Chord {C-sharp in octave 4 | B-flat in octave 3} Zero,C#4-interval class 3,0.0,99.75
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,100.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,101.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,102.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,103.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,104.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,105.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,106.5
Chord {D in octave 2 | D in octave 4 | F-sharp in octave 3 | B in octave 3 | A in octave 3} Eighth,B3-minor seventh chord,0.5,107.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,108.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,109.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,110.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,111.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,112.0
Chord {B in octave 3 | B in octave 3 | G in octave 3 | D in octave 4} Dotted Half,G3-major triad,3.0,113.0
Chord {D in octave 5 | B in octave 4 | G in octave 4} Quarter,G4-major triad,1.0,118.0
Chord {G in octave 4 | B in octave 4 | F-sharp in octave 4 | D in octave 5} Quarter,G4-major seventh chord,1.0,119.0
Chord {A in octave 4 | E in octave 4 | C in octave 5} Quarter,A4-minor triad,1.0,120.0
Chord {C in octave 2 | E in octave 4} Quarter,C2-interval class 4,1.0,121.0
Chord {C in octave 2 | E in octave 4 | B in octave 3 | G in octave 2 | C in octave 2 | E in octave 3} 16th,C2-major seventh chord,0.25,122.0
Chord {C in octave 2 | B in octave 3 | E in octave 3} Quarter,C2-incomplete major-seventh chord,1.0,122.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,123.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,124.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,125.75
Chord {C in octave 4 | C in octave 4} Eighth,C4-unison,0.5,382/3
Chord {A in octave 3 | A in octave 5} Zero,A3-unison,0.0,128.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,128.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,129.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,130.5
Chord {A in octave 4 | E-flat in octave 4 | B in octave 4} Zero,A4-incomplete dominant-seventh chord,0.0,131.5
Chord {G in octave 4 | D in octave 4} Half,G4-interval class 5,2.0,132.0
Chord {E in octave 4 | E in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),E4-unison,2/3,134.0
Chord {G in octave 4 | G in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-unison,2/3,404/3
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,135.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,136.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,137.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,138.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,139.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,140.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,141.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,142.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,143.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,163.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,164.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,165.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,166.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,167.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,168.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,169.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,170.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,171.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,172.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,173.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,174.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,175.5
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,177.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,178.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,179.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,180.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,181.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,182.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,183.5
Chord {G in octave 3 | C in octave 4 | B-flat in octave 3 | E-flat in octave 4 | G-sharp in octave 3} Eighth,C4-major-ninth chord,0.5,196.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,197.0
Chord {E-flat in octave 2 | C in octave 4 | G in octave 4 | B-flat in octave 3} Quarter,C4-minor seventh chord,1.0,198.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,199.0
Chord {C in octave 5 | G-sharp in octave 4 | F in octave 4 | C-sharp in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),F4-major seventh chord,1/3,200.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,201.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,203.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,204.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,205.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,206.25
Chord {G-sharp in octave 5 | F in octave 5 | C-sharp in octave 5 | B-flat in octave 4 | G-sharp in octave 4 | F-sharp in octave 4 | E-flat in octave 4 | C-sharp in octave 4 | G-sharp in octave 1} Breve Tuplet of 12/11ths (7 1/3 QL),C#5-C all combinatorial (P6, I3, RI9),22/3,207.5
Chord {B in octave 3 | F in octave 3} Zero,B3-tritone,0.0,237.25
Chord {F in octave 3 | B in octave 3} Zero,B3-tritone,0.0,237.5
Chord {B in octave 3 | F in octave 3} Zero,B3-tritone,0.0,237.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,239.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,240.0
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,242.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,243.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,244.25
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,245.25
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,246.25
